confidence,entropy,activation_mean,activation_std,activation_max,activation_min,failure
0.5769617,1.2318393,0.13083872,0.24098659,1.6606877,0.0,0
0.71428907,0.89993405,0.22865686,0.39286402,2.3329206,0.0,0
0.36529836,1.4853389,0.14479251,0.2329162,1.2222238,0.0,0
0.6817285,1.024587,0.17009477,0.24743101,1.5730435,0.0,1
0.7452264,0.82057804,0.24780533,0.34534183,2.0696192,0.0,0
0.56936496,1.3023088,0.15466753,0.21466225,1.3180643,0.0,0
0.8753897,0.54688495,0.42090636,0.65035903,2.2464235,0.0,0
0.9309626,0.36244008,0.17486428,0.29315284,2.1831589,0.0,0
0.4833793,1.3396591,0.13769472,0.24800436,1.90673,0.0,0
0.68726677,0.86783594,0.21085396,0.3728561,2.065057,0.0,0
0.7892695,0.73068327,0.20566902,0.2957852,1.9745398,0.0,0
0.8293795,0.48843256,0.259094,0.47705296,2.9938781,0.0,0
0.2395632,1.7800628,0.091810144,0.17188613,1.1544572,0.0,1
0.8940373,0.4814859,0.23263004,0.29755777,2.19218,0.0,0
0.7492732,0.7846546,0.18097413,0.29706258,1.9310755,0.0,0
0.66441375,1.2854857,0.11994555,0.18627074,1.3298901,0.0,0
0.46086168,1.2598274,0.14237246,0.24716644,1.6398124,0.0,1
0.2660627,2.1023374,0.07909266,0.10703199,0.7382516,0.0,1
0.55958456,1.0968676,0.19396797,0.31332323,1.8683202,0.0,0
0.8938803,0.47518262,0.2271971,0.3378755,2.153274,0.0,0
0.96352315,0.21951938,0.23771319,0.33965743,2.3449943,0.0,0
0.9582719,0.23406526,0.24242106,0.37854648,2.8503892,0.0,0
0.38615218,1.4961113,0.17572668,0.2501468,1.4333745,0.0,1
0.6732731,0.6406968,0.51013196,0.8976094,4.0697284,0.0,0
0.33401054,1.5358467,0.1769807,0.21161887,1.1693337,0.0,1
0.33613703,1.5280116,0.17298993,0.26179078,1.4896271,0.0,0
0.81585735,0.75439763,0.22304912,0.28245088,1.7755504,0.0,0
0.83500516,0.62636936,0.2462095,0.28573665,1.5833831,0.0,1
0.5451158,0.86038446,0.18670435,0.36560512,2.3380685,0.0,1
0.6728016,1.235997,0.16344635,0.21931526,1.2707884,0.0,0
0.35034582,1.6042315,0.14039366,0.19643836,1.429712,0.0,1
0.5044387,1.4388788,0.16138431,0.19660276,1.0662321,0.0,1
0.70478183,0.98568034,0.19444872,0.24634445,1.4322628,0.0,0
0.4461838,1.5277164,0.16087112,0.1980653,1.1319069,0.0,1
0.84993625,0.6613046,0.18413866,0.27039298,1.6923033,0.0,0
0.30554622,1.8130776,0.10773138,0.17837067,1.230523,0.0,1
0.574782,1.3130522,0.1639274,0.22188124,1.3628521,0.0,1
0.7940773,0.5815022,0.23463908,0.4411266,2.795946,0.0,1
0.88042873,0.4205988,0.23462327,0.4151473,2.8885686,0.0,0
0.4306212,1.4285071,0.13534106,0.23824677,1.5874541,0.0,1
0.23075248,2.0342052,0.07498885,0.118649095,0.7352131,0.0,1
0.46107456,1.184299,0.21384335,0.29741204,1.7969687,0.0,0
0.46177432,1.2955729,0.16480175,0.23364273,1.5693381,0.0,0
0.92426634,0.39834142,0.15925436,0.29258448,2.1229203,0.0,0
