confidence,entropy,activation_mean,activation_std,activation_max,activation_min,failure
0.9983663,0.012512627,1.2059124,1.4199865,5.997708,0.0,0
0.99980015,0.0021086456,0.7446569,1.4060172,7.9462647,0.0,0
0.9999895,0.00014610753,1.8927202,1.786598,7.090538,0.0,0
0.9999968,4.822194e-05,2.0769615,1.9276576,7.562252,0.0,0
0.67065,0.90958256,0.29568315,0.7120614,4.4824963,0.0,1
0.9999856,0.00019653006,1.8529732,1.7554286,7.157307,0.0,0
0.7178461,0.6003801,0.4749784,1.0034292,5.0264215,0.0,0
0.9754157,0.11840084,0.52818996,1.1040363,5.827793,0.0,0
0.9999968,4.480848e-05,1.8229382,1.7924136,7.3969755,0.0,0
0.99982077,0.0017755111,1.0066688,1.4067051,6.8093348,0.0,0
0.9857819,0.08141861,0.51937646,1.1168034,7.423519,0.0,0
0.99998415,0.0001965891,1.5735135,1.5816281,6.2120557,0.0,0
0.5095123,0.7365945,0.38826656,0.6794797,3.9960837,0.0,1
0.9993874,0.0057795793,0.63890326,1.1819865,6.6445847,0.0,0
0.6936773,0.6245082,0.41474926,0.9240552,5.0498886,0.0,0
0.9998429,0.0016629673,1.5321653,1.4984945,5.9921703,0.0,0
0.9998087,0.0020391257,0.7609095,1.3533759,7.1459756,0.0,0
0.61569536,0.7860596,0.34357685,0.7278182,3.6177256,0.0,1
0.99939847,0.006209062,0.49293312,0.84157807,4.670638,0.0,0
0.9989328,0.009246185,0.59039605,1.1370991,5.8166857,0.0,0
0.9998634,0.0014463752,0.84583175,1.5430312,9.385563,0.0,0
0.6386384,0.7269999,0.5490837,0.8439534,3.950831,0.0,0
0.9981883,0.0135556655,0.68279994,1.1336533,5.267633,0.0,0
0.99952257,0.004239435,1.1074259,1.2303536,5.4682465,0.0,1
0.99999213,0.00011111384,1.919234,1.7920817,7.36444,0.0,0
0.9275117,0.31085342,0.42426622,0.8512314,4.3429804,0.0,1
0.6237726,0.8723296,0.29150063,0.64205563,4.200575,0.0,1
0.78569627,0.6065074,0.29206732,0.7052893,4.1643963,0.0,0
0.9751026,0.11879519,0.5859566,0.98915654,4.702855,0.0,0
0.5439365,0.951358,0.29417306,0.70478517,4.3131413,0.0,0
1.0,3.8380907e-07,1.0906522,1.5950478,7.8441634,0.0,0
0.9999995,9.1267975e-06,0.9046574,1.3748269,6.3934813,0.0,0
0.9734455,0.13529201,0.67656267,0.9504619,5.0673347,0.0,1
0.93978274,0.3094349,0.27979487,0.63342386,3.5952113,0.0,0
0.9999956,6.4404565e-05,0.8219294,1.2779893,6.124477,0.0,0
0.9992962,0.00626132,0.7193639,1.3371364,6.7430263,0.0,0
0.99997175,0.0003397588,1.1294711,1.5057216,6.725441,0.0,0
0.99923456,0.0063246093,1.301924,1.4234754,5.580307,0.0,0
0.99978536,0.0020750621,0.89631295,1.3125535,6.519982,0.0,0
0.9993795,0.005402272,1.1527472,1.4118625,6.7362375,0.0,0
0.99188024,0.05034737,0.5208483,1.0220678,5.595086,0.0,1
0.99999785,3.3452372e-05,2.1430042,1.9847665,7.8396673,0.0,0
0.50871396,1.0621862,0.27342698,0.6561234,4.4848504,0.0,1
0.6161642,0.6753514,0.37931737,0.79906577,4.2538404,0.0,0
0.55253816,0.84640896,0.3580026,0.76599604,4.0963664,0.0,1
0.98692906,0.06979711,0.7368181,1.2459496,6.1062546,0.0,0
0.9798767,0.119528316,0.40204298,0.8264227,4.4753532,0.0,0
0.9888876,0.067323595,0.93061554,0.96849227,4.0728197,0.0,0
0.9377674,0.28513706,0.350551,0.7409346,4.170049,0.0,0
0.5240176,1.0111841,0.25925592,0.57065415,3.6922934,0.0,0
0.969986,0.15642539,0.455634,0.96079355,6.6030993,0.0,0
0.85220593,0.44521335,0.465891,0.9889426,5.442247,0.0,0
0.9999541,0.00050797366,1.5242317,1.5895985,6.538602,0.0,0
0.9973883,0.021550315,0.44102457,0.7991019,4.4031806,0.0,0
0.9932876,0.041434024,0.55903554,1.1435239,6.699382,0.0,0
0.998801,0.0101445,0.69373715,1.3002393,6.2501535,0.0,0
0.9999199,0.00092100573,0.6143801,1.028372,6.1725106,0.0,0
0.8254477,0.575529,0.3712448,0.7978338,4.9396706,0.0,0
0.999632,0.0037686115,0.5169003,0.88929105,5.3044615,0.0,0
0.9998975,0.001115681,0.8469447,1.5356344,7.909077,0.0,0
0.997815,0.015624377,0.78552127,1.2746226,6.3507977,0.0,0
0.9822583,0.093748055,0.5902918,1.0180088,4.869701,0.0,0
0.9999994,9.710347e-06,0.9570799,1.4342272,7.3293834,0.0,0
0.99999774,3.181135e-05,1.9382612,1.8483994,7.482433,0.0,0
0.9999987,2.202052e-05,2.260892,2.1152103,8.265064,0.0,0
0.99999225,0.000109567896,1.927191,1.7901843,7.026638,0.0,0
0.39678633,1.3503902,0.2049945,0.4467362,2.761299,0.0,1
0.67548126,0.74517393,0.33664536,0.817572,5.8425093,0.0,1
0.9791976,0.10202802,0.5310011,1.0067687,4.920912,0.0,1
1.0,1.2394257e-06,1.0280495,1.5383478,7.2692485,0.0,0
0.99939287,0.005254683,0.78234524,1.2023252,5.852064,0.0,0
0.9745725,0.12068537,0.46010032,1.0836682,6.887603,0.0,0
0.9978109,0.017408332,0.609885,1.1926049,6.095093,0.0,0
0.37129846,1.4765162,0.19326897,0.41802007,2.77295,0.0,1
0.8053822,0.49847612,0.45147508,0.9744423,5.23823,0.0,0
0.7697626,0.7199367,0.34611663,0.7194817,4.3534937,0.0,0
0.99999976,4.639379e-06,2.5306606,2.3506608,9.015522,0.0,0
0.99987817,0.0013337656,0.77958125,1.4072564,8.16664,0.0,0
0.99993825,0.00075577025,0.6587292,0.9793528,5.436883,0.0,0
0.99110466,0.056867745,0.49556258,1.0981648,7.537589,0.0,0
0.99548906,0.035315804,1.0548345,1.1564509,4.681005,0.0,0
0.9999963,5.2355834e-05,0.78246516,1.2368052,6.5667906,0.0,0
0.99999905,1.4082716e-05,2.1462972,2.0006244,8.472462,0.0,0
0.9999454,0.0006027563,1.5081416,1.6738862,8.133961,0.0,0
0.9999988,1.8081497e-05,1.8446301,1.8032176,7.4830513,0.0,0
0.99938655,0.0056403773,0.66631407,1.19502,6.301235,0.0,0
0.9919871,0.054422192,0.49427855,0.987645,5.5204697,0.0,0
0.99996626,0.00040687196,0.96872807,1.6694665,10.35325,0.0,0
0.9999262,0.0008181832,0.88997227,1.5220103,7.6798024,0.0,0
0.97257996,0.14805448,0.44631544,0.88962126,4.9352098,0.0,1
0.9999924,9.890719e-05,1.8227034,1.7588122,7.235772,0.0,0
0.99533683,0.03500541,0.5066614,0.9872205,5.3847084,0.0,0
0.7525672,0.7367161,0.31476042,0.6614706,3.3080173,0.0,0
0.9993092,0.0057503562,0.8228898,1.3066952,6.40749,0.0,0
0.99995816,0.0005146138,1.6867234,1.6072708,6.430749,0.0,0
0.99868125,0.012019097,0.48724657,0.8212107,4.6567407,0.0,0
0.87893033,0.41552305,0.28842574,0.658493,4.1872635,0.0,0
0.9999684,0.00039562746,1.7559459,1.680616,6.896471,0.0,0
0.5773994,0.7297627,0.35871828,0.73539203,3.9782345,0.0,1
0.98523015,0.08827311,0.50068295,0.9924827,5.5336494,0.0,0
0.99152267,0.05725294,0.4207322,0.8627912,4.788258,0.0,0
0.9609841,0.16961549,0.5164416,1.0990543,6.029168,0.0,0
0.99969244,0.002819744,0.98756814,1.4433651,6.918181,0.0,0
0.7314477,0.8502004,0.2602797,0.58791804,3.5035024,0.0,1
0.99982303,0.0017678777,0.8971673,1.3023615,6.262873,0.0,0
0.9989441,0.009462012,0.4795401,0.83780235,4.732913,0.0,0
0.99998224,0.00021440089,1.6160026,1.6266605,6.6008205,0.0,0
0.7179472,0.60781294,0.4018761,0.8088715,4.094819,0.0,1
0.9988054,0.0096743265,1.1271857,1.349856,5.9953566,0.0,0
0.99903715,0.007834587,0.714917,1.5052004,10.327262,0.0,0
0.9997377,0.0027039796,0.7401536,1.3696789,7.1987467,0.0,0
0.99896765,0.008755016,0.9723778,1.1111914,5.1052384,0.0,0
0.9999074,0.0010147324,1.0031161,1.3669516,6.2119412,0.0,0
0.95907223,0.19273442,0.36496207,0.79667455,4.9102654,0.0,0
0.99999857,2.150047e-05,2.2535028,2.0374458,8.096996,0.0,0
0.9999596,0.0004853718,0.9757941,1.6015145,9.091581,0.0,0
0.999632,0.0036298158,0.5504362,0.9342575,5.439665,0.0,0
0.53282374,1.2234441,0.22270882,0.48443344,2.8078241,0.0,1
0.97171754,0.14180583,0.5496,0.9677325,4.4709406,0.0,0
